inspection_id,supplier_id,supplier_name,country,supplier_approval_status,material_lot,inspection_date,inspection_result,defect_count
INSP-000001,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000421,2026-03-23,PASS,0
INSP-000002,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000263,2026-07-28,FAIL,2
INSP-000003,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000117,2025-12-22,PASS,3
INSP-000004,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000265,2025-12-25,PASS,8
INSP-000005,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000175,2026-04-21,PASS,5
INSP-000006,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000395,2026-04-04,FAIL,6
INSP-000007,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000231,2026-04-09,PASS,0
INSP-000008,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000296,2025-11-07,PASS,4
INSP-000009,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000415,2026-05-10,UNKNOWN,5
INSP-000010,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000215,2025-12-21,PASS,6
INSP-000011,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000167,2026-01-28,PASS,0
INSP-000012,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000488,2025-11-14,FAIL,6
INSP-000013,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000486,2025-12-10,PASS,8
INSP-000014,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000244,2025-12-02,PASS,7
INSP-000015,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000088,2025-10-14,PASS,8
INSP-000016,,MedTech Components Ltd.,Germany,APPROVED,MAT-000424,2025-09-13,PASS,7
INSP-000017,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000102,2025-12-01,PASS,6
INSP-000018,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000120,2025-12-11,PASS,8
INSP-000019,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000030,2026-04-17,PASS,0
INSP-000020,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000441,2026-02-11,FAIL,6
INSP-000021,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000067,2025-10-23,PASS,7
INSP-000022,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000490,2026-03-15,FAIL,3
INSP-000023,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000159,2025-12-11,PASS,7
INSP-000024,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000295,2026-07-03,FAIL,3
INSP-000025,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000235,2026-08-13,PASS,0
INSP-000026,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000033,2026-04-13,PASS,3
INSP-000027,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000467,2026-02-12,PASS,7
INSP-000028,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000295,2026-04-21,PASS,1
INSP-000029,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000452,2026-07-24,FAIL,5
INSP-000030,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000314,2026-03-16,PASS,2
INSP-000031,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000092,2026-01-02,FAIL,6
INSP-000032,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000467,2026-03-12,PASS,1
INSP-000033,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000485,2026-08-20,PASS,2
INSP-000034,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000276,2026-07-15,PASS,1
INSP-000035,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000211,2026-05-07,FAIL,8
INSP-000036,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000040,2026-03-04,PASS,8
INSP-000037,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000231,2026-03-25,PASS,3
INSP-000038,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000237,2025-09-19,PASS,7
INSP-000039,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000382,2026-02-19,PASS,3
INSP-000040,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000006,2025-09-16,PASS,2
INSP-000041,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000384,2026-08-06,PASS,7
INSP-000042,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000281,2025-10-09,PASS,7
INSP-000043,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000421,2026-04-26,PASS,2
INSP-000044,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000311,2025-09-06,PASS,4
INSP-000045,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000380,2026-05-28,PASS,1
INSP-000046,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000140,2026-08-09,PASS,5
INSP-000047,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000366,2025-12-16,PASS,8
INSP-000048,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000357,2026-04-11,PASS,8
INSP-000049,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000354,2026-03-15,PASS,0
INSP-000050,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000025,2025-08-30,PASS,3
INSP-000051,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000466,2026-03-07,PASS,1
INSP-000052,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000015,2026-03-31,FAIL,5
INSP-000053,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000343,2026-08-11,PASS,1
INSP-000054,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000023,2025-11-21,PASS,1
INSP-000055,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000288,2026-02-09,PASS,3
INSP-000056,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000481,2026-03-18,PASS,3
INSP-000057,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000183,2025-10-21,PASS,0
INSP-000058,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000162,2026-07-28,PASS,3
INSP-000059,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000034,2025-12-18,PASS,4
INSP-000060,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000023,2026-03-04,PASS,3
INSP-000061,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000393,2026-01-29,PASS,1
INSP-000062,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000088,2026-06-15,PASS,1
INSP-000063,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000324,2026-02-10,PASS,2
INSP-000064,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000326,2025-11-25,PASS,5
